add	add
commit	-m
diff	--check
diff	--exit-code
diff	--name-only
diff	--no-patch
diff	--numstat
diff	--quiet
diff	--shortstat
diff	--stat
diff	--summary
diff	-C
diff	-M
diff	diff
diff-files	--compact-summary
diff-files	--exit-code
diff-files	--no-patch
diff-files	--numstat
diff-files	--raw
diff-files	--shortstat
diff-files	--stat
diff-files	--summary
diff-files	-C
diff-files	-s
diff-files	porcelain flag surface
diff-index	--cached
diff-index	--exit-code
diff-index	-C
diff-index	-M
diff-index	-z
diff-index	raw output
diff-tree	--exit-code
diff-tree	--name-only
diff-tree	--stdin
diff-tree	-M
diff-tree	-r
format-patch	--attach
format-patch	--base
format-patch	--cc
format-patch	--in-reply-to
format-patch	--inline
format-patch	--signoff
format-patch	--stdout
format-patch	--to
format-patch	-s
hash-object	hash-object
mv	mv
rev-parse	rev-parse
status	status
update-index	--add
update-index	--remove
write-tree	write-tree
